REF_DATA_CODE,REF_DATA_TYPE,REF_DATA_DESC,REF_DATA_DESCDETAIL
RESIDENTIAL,ADDRESS-TYPE,Residential,
BUSINESS,ADDRESS-TYPE,"Business	",
BILLING,ADDRESS-TYPE,Billing,
SHIPPING,ADDRESS-TYPE,Shipping,
